Número,Frecuencia
18,45
40,42
35,39
27,38
38,38
41,36
5,34
25,34
36,34
42,34
33,33
12,32
24,32
26,32
32,32
2,31
14,31
15,31
44,31
16,30
22,30
31,30
43,30
7,29
49,28
11,27
17,27
48,27
52,27
4,26
8,26
10,26
37,26
45,26
19,25
21,25
23,25
28,25
3,24
20,23
29,23
39,23
6,21
9,21
30,21
34,21
46,20
1,19
51,19
13,18
53,18
54,17
50,14
47,12
