Número,Frecuencia
23,25
13,24
1,22
26,22
9,19
29,19
41,18
21,17
44,17
2,16
5,16
14,16
24,16
27,16
30,16
34,16
50,16
10,15
15,15
37,15
39,15
11,14
17,14
20,14
28,14
31,14
40,14
42,14
49,14
12,13
33,13
38,13
47,13
8,12
18,12
19,12
32,12
36,12
54,12
16,11
25,11
35,11
4,10
7,10
43,10
53,10
3,9
45,9
22,8
46,8
48,8
52,8
6,7
51,7
