Número,Frecuencia
22,23
27,21
7,19
12,19
9,18
13,18
15,18
30,18
8,17
20,17
35,17
38,17
44,17
5,16
6,16
10,16
40,16
41,16
43,16
3,15
11,15
16,15
18,15
19,15
29,15
1,14
4,14
25,14
26,14
28,14
33,14
34,14
39,14
2,13
17,13
21,13
42,13
50,13
32,12
45,12
47,12
14,11
37,11
24,10
46,10
51,9
54,9
31,8
48,8
23,7
49,7
36,6
52,5
53,5
