Número,Frecuencia
4,20
10,20
48,20
22,19
28,19
41,19
7,18
33,18
36,18
38,18
39,18
17,17
26,17
46,17
9,16
16,16
19,16
23,16
30,16
43,16
29,15
1,14
5,14
8,14
11,14
12,14
24,14
31,14
37,14
42,14
6,13
21,13
25,13
27,13
32,13
15,12
18,12
40,12
44,12
13,11
14,11
20,11
34,11
2,10
3,10
47,10
50,10
54,10
49,9
35,8
45,8
51,7
53,6
52,4
