Número,Frecuencia
24,40
39,40
28,39
29,39
33,39
38,39
15,37
16,34
27,34
37,34
36,33
42,32
4,31
31,31
13,30
25,30
40,30
41,30
44,30
1,29
10,29
17,29
26,29
6,28
9,28
35,28
43,28
3,27
5,26
11,26
32,26
48,26
49,26
50,26
8,25
14,25
19,25
23,25
46,25
47,25
2,24
7,24
18,24
30,24
22,23
20,22
12,21
34,21
45,18
21,17
52,17
54,15
51,14
53,11
