Número,Frecuencia
29,25
24,23
28,22
15,20
33,20
38,19
41,19
16,18
27,18
36,18
37,18
39,17
4,16
17,16
35,16
43,16
1,15
5,15
6,15
9,15
20,15
42,15
11,14
13,14
7,13
25,13
31,13
45,13
3,12
8,12
12,12
14,12
19,12
23,12
26,12
30,12
40,12
46,12
48,12
2,11
18,11
34,11
44,11
47,11
50,11
10,10
22,10
52,10
32,9
49,8
53,8
21,7
51,7
54,6
