Número,Frecuencia
4,25
16,23
38,22
30,21
28,19
32,19
34,19
42,19
12,18
24,17
31,17
41,17
44,17
11,16
21,16
25,16
35,16
43,16
3,15
9,15
39,15
8,14
15,14
18,14
19,14
20,14
45,14
1,13
2,13
5,13
7,13
10,13
14,13
22,13
26,13
27,13
29,13
13,12
33,12
40,12
47,11
46,10
49,10
6,9
23,9
37,9
50,8
51,8
52,8
53,8
36,7
48,7
17,6
54,6
