Número,Frecuencia
31,22
16,21
26,21
15,20
37,20
8,19
42,19
5,18
20,18
22,18
4,17
13,17
9,16
12,16
14,16
21,16
27,16
34,16
41,16
44,16
46,16
18,15
40,15
49,15
10,14
24,14
38,14
45,14
6,13
7,13
17,13
23,13
29,13
33,13
36,13
48,13
11,12
39,12
19,11
32,11
47,11
51,11
3,10
35,10
43,10
50,10
2,9
25,9
30,9
1,8
28,8
53,5
54,5
52,4
