Número,Frecuencia
8,23
41,21
20,19
27,19
14,18
35,18
10,17
11,17
32,17
39,17
1,16
3,16
21,16
40,16
50,16
4,15
12,15
18,15
28,15
6,14
7,14
9,14
13,14
16,14
17,14
23,14
31,14
45,14
49,14
5,13
22,13
24,13
30,13
2,12
42,12
43,12
44,12
15,11
19,11
25,11
26,11
29,11
37,11
34,10
46,9
47,9
48,9
51,9
54,9
33,7
36,7
52,7
38,6
53,6
