Número,Frecuencia
26,380
8,367
5,365
16,363
4,362
15,361
27,358
19,357
24,353
31,353
39,353
21,350
22,350
38,349
41,349
9,347
10,344
35,343
40,343
32,341
42,341
12,340
14,340
28,340
44,340
7,339
1,338
29,338
17,336
18,335
2,333
33,332
3,330
37,330
43,328
36,325
25,324
13,322
20,322
6,321
11,320
34,318
49,315
30,313
23,303
46,282
50,282
47,278
48,278
45,270
54,201
51,193
52,193
53,190
